ID,名称,描述,关卡ID,图片路径,索引类型1-塔 2-怪,索引ID,塔攻击类型,塔攻速
id|int,name|string,desc|string,levelID|int,imgPath|string,indexType|int,indexID|int,towerAttackType|string,towerAttackSpeed|string
1,穿甲机枪,你爷爷用她巷战反恐，你父亲用她边境对峙，现在你用她抵御智械危机——传承中不断发展革新的经典武器，如今依旧魅力无限，你，值得拥有。,1001,UIImg/CyclopaediaImg/Tower1001,1,1001,穿甲,快
2,自爆卡车,以物资运输为设计初衷的传统交通工具。Lucy控制各地民用设施后对该类卡车货仓加装新式装甲，并填装各类爆炸物使其摇身变为行走的火药桶。,1001,UIImg/CyclopaediaImg/Enemy1002,2,1002,,
3,穿甲炮台 ,旧式反装甲炮塔全面换装贫铀弹头。如今可不比和平年代，在Lucy兵临城下时讨论环保，无异于在最后冲锋前告诉一名敢死队士兵吸烟有害健康。,1002,UIImg/CyclopaediaImg/Tower1002,1,1002,穿甲,慢
4,蜘蛛机器人 ,R国在新冷战期间重启的高机动四足战斗机械方案。在西部军械库被Lucy占领后，大量尚未转移的蜘蛛机器人被接入控制并冲出库房，扑向城市。,1002,UIImg/CyclopaediaImg/Enemy1001,2,1001,,
5,装甲坦克 ,裁军计划中被封存的旧式主战坦克。Lucy将其接入集成思维网络并开向战场，新冷战期间的军工科技结晶将会对制造它们的人类展开无情炮击。,1003,UIImg/CyclopaediaImg/Enemy1005,2,1005,,
6,电磁线圈 ,电磁武器研发早期阶段的杰作，受时代所限，无法完全收束住弥漫在其周围的电磁流风暴。而现在，这反而成为此武器最大的特点，源源不断的电磁流让敌人的中枢控制系统紊乱。,1005,UIImg/CyclopaediaImg/Tower1004,1,1004,磁暴,快
7,机械犀牛 ,Lucy基于其参与的克隆繁殖实验，对原产于AF大陆的野生犀牛进行大批量克隆及半机械化改造，成本低廉而又不知疲倦的战争机器就此诞生。,1005,UIImg/CyclopaediaImg/Enemy1004,2,1004,,
8,磁爆炮塔 ,依靠反应堆提供的无穷能量，曾经只存在于电影、游戏中的防御武器踏入现实，当年反R国宣传题材典型代表单位如今正成为保卫人类的中坚力量。,1006,UIImg/CyclopaediaImg/Tower1005,1,1005,磁暴,中
9,机械战象 ,巨大的身躯在机械化改造的过程中为装甲提供了更多的装载空间，机械战象移动速度缓慢但抗击打能力极高。,1006,UIImg/CyclopaediaImg/Enemy1003,2,1003,,
10,镭射装甲车,正式以搭载镭射炮为设计目标的重型装甲车辆，其多项防护指标优于其前代。Lucy在横扫北新大陆后，一度将其作为地面重装部队的核心力量。,1007,UIImg/CyclopaediaImg/Enemy1017,2,1017,,
11,隐身坦克 ,以高机动性高隐蔽性著称的新型坦克，被Lucy改造后更加敏捷且不易侦查。,1009,UIImg/CyclopaediaImg/Enemy1018,2,1018,,
12,激光发射器,以“仙杖”天基激光器地面试验机为基础进行小型化改造的武器系统，早先因性价比问题并未广泛列装，在对抗Lucy的战争开始后才大放光彩。,1009,UIImg/CyclopaediaImg/Tower1008,1,1008,镭射,快
13,能天使,A国军火集团主导开发的超高成本战斗机甲，对传统武器防护的重视使其足够应付绝大多数情况下的治安战需求。A国沦陷后其生产线被Lucy夺取控制。,1011,UIImg/CyclopaediaImg/Enemy1011,2,1011,,
14,风天使,原为第一款具有较高实战价值的载人战斗机甲，在抵挡Lucy入侵的作战中被其EMP击落俘获，进行防护设计及全自动化改造后批量生产并投入战场。,1012,UIImg/CyclopaediaImg/Enemy1010,2,1010,,
15,高能激光炮 ,最高效的对空武器是什么？报告，激光炮！好，坐。高能激光炮，索敌，发射，击落，瞬间完成，是防御塔里的豪杰。清空空中目标后会转而攻击地面目标。,1014,UIImg/CyclopaediaImg/Tower1009,1,1009,镭射,慢
16,巨熊,改造后的巨熊仍保留了其凶猛的特性，善于快速奔袭，并以巨颚撕碎对手。,1014,UIImg/CyclopaediaImg/Enemy1021,2,1021,,
17,旋翼直升机,旧时代警用旋翼直升机，在世界各地都有大量的生产线，攻击能力较弱，在Lucy的智械大军中一般扮演侦察兵的角色。,1014,UIImg/CyclopaediaImg/Enemy1019,2,1019,,
18,能量中继站 ,磁流体供能时代，盯着仪表盘发愁是常有的事，只因你未曾拥有这款能量中继站。只需一台，轻松提升区域内防御塔火力、射速，赶快拿起电话订购吧。,1015,UIImg/CyclopaediaImg/Tower1010,1,1010,辅助,无
19,战斗飞艇,R国暴力美学理念融会贯通于军民两用交通工具设计的代表作之一。广泛应用于天梯轨道建设期间，在5.5事件后被Lucy重新改造为低空轰炸机器。,1015,UIImg/CyclopaediaImg/Enemy1020,2,1020,,
20,唤雷者 ,当电磁部队抱怨沦为战场辅助之时，唤雷者伴随着铁氧体云层电荷扰动技术应运而生。接入Lucy集成思维网络的智械叛军们，是时候在闪电的洗礼下戒掉网瘾了。,1016,UIImg/CyclopaediaImg/Tower1011,1,1011,磁暴,中
21,炽天使 ,内部构造为止，但是从能量检测仪中的数据来看，其内包含了巨量的能量，从世界各战场的情报显示炽天使 似乎初具灵智……,1016,UIImg/CyclopaediaImg/Enemy1022,2,1022,,
